Accession	spike_row
HARAR	1
DJEDDAH	0
L93	0
BR._M.6213-545	1
CI13353	0
ATLAS68	1
EARLY_RUSSIAN	1
FERGUS	0
RESEARCH|PI146663	0
HANACKY_JUBILENI	0
HANACKY_IX	0
9172	1
YABANI_JUT	1
LARA	0
MEDICUM8955	0
AFGHANISTAN600	1
391A	0
674A	0
142A	0
1948G	0
BELORUSSKIJ18	0
1970BA	0
GAW138-3	1
IV/43	1
1271	1
JAWO|PI513167	1
2544	0
ROJEN	1
JERUSALEM_II	0
TIMARI	1
SAN_BENITO80	1
ALEXIS	0
DA_MAI	1
ALI	1
MAGNIF132	0
CRUSADER	0
ASTACUS	1
68-10916	0
2560	0
FUNDULEA245/64	1
65A	0
6-8_69|PI349896	0
69Z108.179	0
MUTANT_ERT1A	0
KOMBAJNER	0
OMSKIJ13709	0
PI344944	0
MOR12/5	1
MOR7/5	1
MOR16/2	1
MOR14/2	1
LAPINOHRA	1
ADOLPHE_BUNGENER	0
PULAWSKI267	0
IRISH_ARCHER	0
KUORETON	1
MENUET|PI467789	0
PUEBLA|PI467740	1
JAREK|PI467834	0
PERFEKTA|PI467808	0
ETU	1
FM434	0
ANTARCTICA05	0
FM438	0
ANTARCTICA04	0
KAKAPO	1
KYLE	0
TRIUMPH	0
PUKAKO	0
HOR4181	1
HALIKKO	0
SANTOKU	1
HOR4101	1
HOR4097	1
NAHCIVANDANY	1
HOR377	1
HOR450	1
HOR1385	0
HOR1387	1
HOR1171	1
NOIRE_MAROC	0
DROSSENFELDER_FRANKONIA	0
MANSHOLTS_TWEERIJIGE	0
NIGRICANS	0
II-11986-2B-3T-3B	1
PI429312	0
PI422233	0
PI423621	0
PI422230	0
QB704.3	1
PI436143	0
PI436154	0
PI447207	0
STB76	1
STB131	1
STB32	1
STB50	1
POLAR	1
GOZEN	1
CAVEDA	1
ZOND	1
NAKANAK	0
BURAT	1
B-71	1
MOIRIS	1
REIDS_TRIUMPH	1
CI2224	0
BARI	1
CI3581	1
CI3694	0
CI3709	1
3887	0
ABI_JOU	1
CI4088	1
CIERNI_JACMEN	1
KAMA_KURO	1
SZEKACS_TAK	1
B.273-0-26-00A3	0
B.217-1503	1
RUSSISCHE_GLATTE	1
ODESSNIJ17	1
ISRAELI121	0
WIR11309	1
ILINESKIJ43	0
EUROPA	0
2734	1
ESPERANCE	0
AKME_FUTTER	0
C.P.I.28369	1
CERTA	0
PROSKOVCUV_HANACKY|PI321823	0
KUPLJENIK7	0
HATVANI445|PI327617	1
WELGEVALLEN65-52-2	0
WELGEVALLEN65-55-3	0
WELGEVALLEN60-1-19	0
WELGEVALLEN62-13-173	0
DIVA	0
ODE	0
HANKKIJA673	1
ARAMIR|PI399482	0
WELGEVALLEN65-36-5	1
WELGEVALLEN60-3-88A	0
WELGEVALLEN60-21-71A	0
WELGEVALLEN62-13-86	0
WELGEVALLEN62-2-14-1	0
WELGEVALLEN65-56-21	0
MCU3674	1
MCU3559	1
MCU3523	1
MCU3538	0
MCU3474	1
MCU3485	1
MCU3886	1
CERNIGOVSKIJ7	0
N40	1
N50	1
IV/121	1
IV/138	1
VARUNDA	0
AKYUREK32	1
AZAMAT	1
IV/188	1
PI601065	0
TX01D292	1
ND16680	0
CIHO14054	1
CIHO14053	1
PI184103	0
PI94806	0
PI94801	0
K710	1
PI220659	1
PI268255	0
PI270618	1
PI270623	1
PI270666	1
PI270683	1
PI270716	1
I25	1
SARLIS	1
PI117347	0
PI94919	1
PI95189	0
PI95212	0
Chervonec	1
